i,local_time,ok,status,latency_ms,error
122,2026-05-16T22:20:05.114,1,200,269.409,
123,2026-05-16T22:20:05.433,1,200,254.594,
124,2026-05-16T22:20:05.728,1,200,244.925,
125,2026-05-16T22:20:06.027,1,200,240.68,
126,2026-05-16T22:20:06.340,1,200,248.645,
127,2026-05-16T22:20:06.640,1,200,242.013,
128,2026-05-16T22:20:06.934,1,200,233.674,
129,2026-05-16T22:20:07.227,1,200,237.881,
130,2026-05-16T22:20:07.514,1,200,235.419,
131,2026-05-16T22:20:07.808,1,200,237.75,
132,2026-05-16T22:20:08.100,1,200,239.621,
133,2026-05-16T22:20:08.407,1,200,242.049,
134,2026-05-16T22:20:08.714,1,200,245.921,
135,2026-05-16T22:20:09.011,1,200,237.69,
136,2026-05-16T22:20:09.304,1,200,238.31,
137,2026-05-16T22:20:09.596,1,200,241.833,
138,2026-05-16T22:20:09.930,1,200,272.892,
139,2026-05-16T22:20:10.231,1,200,237.475,
140,2026-05-16T22:20:10.540,1,200,244.788,
141,2026-05-16T22:20:10.833,1,200,235.102,
142,2026-05-16T22:20:11.387,1,200,498.343,
143,2026-05-16T22:20:11.673,1,200,234.769,
144,2026-05-16T22:20:11.960,1,200,232.986,
145,2026-05-16T22:20:12.249,1,200,234.518,
146,2026-05-16T22:20:12.540,1,200,236.548,
147,2026-05-16T22:20:12.826,1,200,235.431,
148,2026-05-16T22:20:13.117,1,200,235.916,
149,2026-05-16T22:20:13.513,1,200,342.865,
150,2026-05-16T22:20:13.806,1,200,238.557,
151,2026-05-16T22:20:14.093,1,200,235.98,
152,2026-05-16T22:20:14.384,1,200,237.708,
153,2026-05-16T22:20:14.685,1,200,239.597,
154,2026-05-16T22:20:14.981,1,200,245.607,
155,2026-05-16T22:20:15.280,1,200,239.48,
156,2026-05-16T22:20:15.600,1,200,255.172,
157,2026-05-16T22:20:15.894,1,200,241.563,
158,2026-05-16T22:20:16.202,1,200,242.996,
159,2026-05-16T22:20:16.514,1,200,252.917,
160,2026-05-16T22:20:16.807,1,200,240.891,
161,2026-05-16T22:20:17.146,1,200,275.347,
162,2026-05-16T22:20:17.446,1,200,242.233,
163,2026-05-16T22:20:17.750,1,200,241.138,
164,2026-05-16T22:20:18.056,1,200,243.494,
165,2026-05-16T22:20:18.358,1,200,241.487,
166,2026-05-16T22:20:18.666,1,200,245.601,
167,2026-05-16T22:20:18.970,1,200,245.025,
168,2026-05-16T22:20:19.280,1,200,249.54,
169,2026-05-16T22:20:19.573,1,200,237.942,
170,2026-05-16T22:20:19.866,1,200,240.104,
171,2026-05-16T22:20:20.168,1,200,249.515,
172,2026-05-16T22:20:20.464,1,200,242.208,
173,2026-05-16T22:20:20.772,1,200,245.026,
174,2026-05-16T22:20:21.072,1,200,240.469,
175,2026-05-16T22:20:21.376,1,200,238.469,
176,2026-05-16T22:20:21.668,1,200,241.122,
177,2026-05-16T22:20:21.972,1,200,239.712,
178,2026-05-16T22:20:22.273,1,200,236.762,
179,2026-05-16T22:20:22.567,1,200,239.323,
180,2026-05-16T22:20:22.870,1,200,237.347,
181,2026-05-16T22:20:23.259,1,200,338.718,
182,2026-05-16T22:20:23.550,1,200,235.206,
183,2026-05-16T22:20:23.846,1,200,240.122,
184,2026-05-16T22:20:24.135,1,200,237.681,
185,2026-05-16T22:20:24.428,1,200,242.074,
186,2026-05-16T22:20:24.723,1,200,236.974,
187,2026-05-16T22:20:25.012,1,200,235.77,
188,2026-05-16T22:20:25.299,1,200,234.736,
189,2026-05-16T22:20:25.597,1,200,244.275,
190,2026-05-16T22:20:25.896,1,200,235.628,
191,2026-05-16T22:20:26.183,1,200,233.495,
192,2026-05-16T22:20:26.477,1,200,238.64,
193,2026-05-16T22:20:26.783,1,200,241.174,
194,2026-05-16T22:20:27.088,1,200,240.059,
195,2026-05-16T22:20:27.390,1,200,237.414,
196,2026-05-16T22:20:27.682,1,200,239.422,
197,2026-05-16T22:20:27.970,1,200,236.555,
198,2026-05-16T22:20:28.259,1,200,236.946,
199,2026-05-16T22:20:28.551,1,200,237.957,
200,2026-05-16T22:20:28.854,1,200,237.78,
201,2026-05-16T22:20:29.146,1,200,239.962,
202,2026-05-16T22:20:29.445,1,200,237.258,
203,2026-05-16T22:20:29.734,1,200,237.33,
204,2026-05-16T22:20:30.032,1,200,245.088,
205,2026-05-16T22:20:30.328,1,200,237.418,
206,2026-05-16T22:20:30.627,1,200,234.16,
207,2026-05-16T22:20:30.918,1,200,233.823,
208,2026-05-16T22:20:31.240,1,200,268.813,
209,2026-05-16T22:20:31.540,1,200,236.033,
210,2026-05-16T22:20:31.832,1,200,238.926,
211,2026-05-16T22:20:32.145,1,200,261.099,
212,2026-05-16T22:20:32.439,1,200,235.237,
213,2026-05-16T22:20:32.739,1,200,245.607,
214,2026-05-16T22:20:33.057,1,200,259.454,
215,2026-05-16T22:20:33.363,1,200,244.882,
216,2026-05-16T22:20:33.662,1,200,239.667,
217,2026-05-16T22:20:33.952,1,200,239.509,
218,2026-05-16T22:20:34.250,1,200,233.865,
219,2026-05-16T22:20:34.541,1,200,237.347,
220,2026-05-16T22:20:34.830,1,200,237.318,
221,2026-05-16T22:20:35.120,1,200,236.817,
222,2026-05-16T22:20:35.406,1,200,234.658,
223,2026-05-16T22:20:35.699,1,200,238.365,
224,2026-05-16T22:20:35.986,1,200,234.689,
225,2026-05-16T22:20:36.276,1,200,235.585,
226,2026-05-16T22:20:36.566,1,200,235.19,
227,2026-05-16T22:20:36.855,1,200,236.827,
228,2026-05-16T22:20:37.146,1,200,238.43,
229,2026-05-16T22:20:37.439,1,200,241.258,
230,2026-05-16T22:20:37.744,1,200,242.052,
231,2026-05-16T22:20:38.054,1,200,246.412,
232,2026-05-16T22:20:38.353,1,200,240.859,
233,2026-05-16T22:20:38.666,1,200,248.683,
234,2026-05-16T22:20:38.959,1,200,234.921,
235,2026-05-16T22:20:39.256,1,200,242.381,
236,2026-05-16T22:20:39.565,1,200,248.716,
237,2026-05-16T22:20:39.869,1,200,246.019,
238,2026-05-16T22:20:40.163,1,200,237.395,
239,2026-05-16T22:20:40.453,1,200,236.977,
240,2026-05-16T22:20:40.756,1,200,238.535,
241,2026-05-16T22:20:41.042,1,200,235.154,
242,2026-05-16T22:20:41.334,1,200,237.512,
243,2026-05-16T22:20:41.622,1,200,234.377,
244,2026-05-16T22:20:41.920,1,200,240.576,
245,2026-05-16T22:20:42.228,1,200,242.29,
246,2026-05-16T22:20:42.527,1,200,236.065,
247,2026-05-16T22:20:42.821,1,200,242.324,
248,2026-05-16T22:20:43.125,1,200,240.608,
249,2026-05-16T22:20:43.421,1,200,243.021,
250,2026-05-16T22:20:43.718,1,200,236.784,
251,2026-05-16T22:20:44.007,1,200,235.066,
252,2026-05-16T22:20:44.296,1,200,235.814,
253,2026-05-16T22:20:44.592,1,200,240.297,
254,2026-05-16T22:20:44.891,1,200,236.595,
255,2026-05-16T22:20:45.177,1,200,234.342,
256,2026-05-16T22:20:45.466,1,200,238.763,
257,2026-05-16T22:20:45.758,1,200,239.734,
258,2026-05-16T22:20:46.063,1,200,240.083,
259,2026-05-16T22:20:46.350,1,200,235.643,
260,2026-05-16T22:20:46.641,1,200,238.085,
261,2026-05-16T22:20:46.935,1,200,242.252,
262,2026-05-16T22:20:47.234,1,200,236.593,
263,2026-05-16T22:20:47.525,1,200,239.194,
264,2026-05-16T22:20:47.827,1,200,237.603,
265,2026-05-16T22:20:48.119,1,200,239.138,
266,2026-05-16T22:20:48.418,1,200,234.822,
267,2026-05-16T22:20:48.712,1,200,238.657,
268,2026-05-16T22:20:49.002,1,200,239.548,
269,2026-05-16T22:20:49.310,1,200,242.546,
270,2026-05-16T22:20:49.619,1,200,247.908,
271,2026-05-16T22:20:49.925,1,200,246.419,
272,2026-05-16T22:20:50.225,1,200,245.372,
273,2026-05-16T22:20:50.525,1,200,238.781,
274,2026-05-16T22:20:50.819,1,200,242.395,
275,2026-05-16T22:20:51.125,1,200,242.839,
276,2026-05-16T22:20:51.423,1,200,235.354,
277,2026-05-16T22:20:51.715,1,200,237.762,
278,2026-05-16T22:20:52.015,1,200,236.805,
279,2026-05-16T22:20:52.304,1,200,236.963,
280,2026-05-16T22:20:52.593,1,200,236.164,
281,2026-05-16T22:20:52.885,1,200,237.72,
282,2026-05-16T22:20:53.169,1,200,232.743,
283,2026-05-16T22:20:53.469,1,200,240.757,
284,2026-05-16T22:20:53.770,1,200,238.794,
285,2026-05-16T22:20:54.059,1,200,237.467,
286,2026-05-16T22:20:54.350,1,200,239.083,
287,2026-05-16T22:20:54.637,1,200,237.371,
288,2026-05-16T22:20:54.927,1,200,237.371,
289,2026-05-16T22:20:55.226,1,200,247.924,
290,2026-05-16T22:20:55.523,1,200,238.516,
291,2026-05-16T22:20:55.813,1,200,237.75,
292,2026-05-16T22:20:56.109,1,200,243.218,
293,2026-05-16T22:20:56.406,1,200,234.831,
294,2026-05-16T22:20:56.697,1,200,235.362,
295,2026-05-16T22:20:56.986,1,200,233.228,
296,2026-05-16T22:20:57.279,1,200,237.936,
297,2026-05-16T22:20:57.577,1,200,244.095,
298,2026-05-16T22:20:57.878,1,200,240.103,
299,2026-05-16T22:20:58.178,1,200,237.766,
300,2026-05-16T22:20:58.488,1,200,245.071,
301,2026-05-16T22:20:58.783,1,200,237.122,
302,2026-05-16T22:20:59.073,1,200,235.623,
303,2026-05-16T22:20:59.366,1,200,238.873,
304,2026-05-16T22:20:59.660,1,200,242.295,
305,2026-05-16T22:20:59.945,1,200,234.192,
306,2026-05-16T22:21:00.245,1,200,243.86,
307,2026-05-16T22:21:00.543,1,200,236.958,
308,2026-05-16T22:21:00.833,1,200,236.215,
309,2026-05-16T22:21:01.127,1,200,240.865,
310,2026-05-16T22:21:01.435,1,200,243.393,
311,2026-05-16T22:21:01.736,1,200,240.079,
312,2026-05-16T22:21:02.040,1,200,238.89,
313,2026-05-16T22:21:02.344,1,200,253.045,
314,2026-05-16T22:21:02.632,1,200,237.174,
315,2026-05-16T22:21:02.921,1,200,238.236,
316,2026-05-16T22:21:03.215,1,200,241.221,
317,2026-05-16T22:21:03.512,1,200,234.291,
318,2026-05-16T22:21:03.805,1,200,238.756,
319,2026-05-16T22:21:04.096,1,200,239.517,
320,2026-05-16T22:21:04.396,1,200,236.875,
321,2026-05-16T22:21:04.687,1,200,239.613,
322,2026-05-16T22:21:04.989,1,200,238.425,
323,2026-05-16T22:21:05.279,1,200,239.209,
324,2026-05-16T22:21:05.566,1,200,236.128,
325,2026-05-16T22:21:05.854,1,200,233.859,
326,2026-05-16T22:21:06.152,1,200,240.565,
327,2026-05-16T22:21:06.456,1,200,241.512,
328,2026-05-16T22:21:06.761,1,200,239.866,
329,2026-05-16T22:21:07.051,1,200,238.752,
330,2026-05-16T22:21:07.339,1,200,236.617,
331,2026-05-16T22:21:07.632,1,200,240.114,
332,2026-05-16T22:21:07.942,1,200,247.573,
333,2026-05-16T22:21:08.242,1,200,244.737,
334,2026-05-16T22:21:08.545,1,200,243.27,
335,2026-05-16T22:21:08.847,1,200,239.254,
336,2026-05-16T22:21:09.137,1,200,238.744,
337,2026-05-16T22:21:09.440,1,200,238.384,
338,2026-05-16T22:21:09.728,1,200,237.255,
339,2026-05-16T22:21:10.014,1,200,234.735,
340,2026-05-16T22:21:10.310,1,200,239.426,
341,2026-05-16T22:21:10.597,1,200,236.115,
342,2026-05-16T22:21:10.888,1,200,237.43,
343,2026-05-16T22:21:11.183,1,200,238.898,
344,2026-05-16T22:21:11.476,1,200,239.766,
345,2026-05-16T22:21:11.775,1,200,234.777,
346,2026-05-16T22:21:12.064,1,200,236.198,
347,2026-05-16T22:21:12.358,1,200,241.376,
348,2026-05-16T22:21:12.649,1,200,240.849,
349,2026-05-16T22:21:13.028,1,200,315.536,
350,2026-05-16T22:21:13.310,1,200,232.108,
351,2026-05-16T22:21:13.603,1,200,235.322,
352,2026-05-16T22:21:13.895,1,200,236.926,
353,2026-05-16T22:21:14.189,1,200,243.085,
354,2026-05-16T22:21:14.488,1,200,235.127,
355,2026-05-16T22:21:14.778,1,200,235.481,
356,2026-05-16T22:21:15.076,1,200,241.357,
357,2026-05-16T22:21:15.494,1,200,355.87,
358,2026-05-16T22:21:15.790,1,200,240.518,
359,2026-05-16T22:21:16.096,1,200,240.641,
360,2026-05-16T22:21:16.381,1,200,234.005,
361,2026-05-16T22:21:16.682,1,200,243.657,
362,2026-05-16T22:21:16.986,1,200,243.916,
363,2026-05-16T22:21:17.290,1,200,244.4,
364,2026-05-16T22:21:17.588,1,200,237.247,
365,2026-05-16T22:21:17.889,1,200,248.963,
366,2026-05-16T22:21:18.190,1,200,244.116,
367,2026-05-16T22:21:18.490,1,200,238.414,
368,2026-05-16T22:21:18.780,1,200,237.92,
369,2026-05-16T22:21:19.071,1,200,239.324,
370,2026-05-16T22:21:19.361,1,200,238.421,
371,2026-05-16T22:21:19.663,1,200,236.347,
372,2026-05-16T22:21:19.972,1,200,254.652,
373,2026-05-16T22:21:20.271,1,200,246.479,
374,2026-05-16T22:21:20.586,1,200,254.07,
375,2026-05-16T22:21:20.878,1,200,241.405,
376,2026-05-16T22:21:21.170,1,200,240.434,
377,2026-05-16T22:21:21.664,1,200,443.727,
378,2026-05-16T22:21:21.959,1,200,237.292,
379,2026-05-16T22:21:22.247,1,200,237.081,
380,2026-05-16T22:21:22.544,1,200,241.497,
381,2026-05-16T22:21:22.843,1,200,235.954,
382,2026-05-16T22:21:23.147,1,200,249.159,
383,2026-05-16T22:21:23.441,1,200,237.569,
384,2026-05-16T22:21:23.757,1,200,251.297,
385,2026-05-16T22:21:24.059,1,200,248.341,
386,2026-05-16T22:21:24.353,1,200,238.575,
387,2026-05-16T22:21:24.645,1,200,239.051,
388,2026-05-16T22:21:25.206,1,200,496.601,
389,2026-05-16T22:21:25.498,1,200,239.768,
390,2026-05-16T22:21:25.802,1,200,238.881,
391,2026-05-16T22:21:26.091,1,200,237.709,
392,2026-05-16T22:21:26.380,1,200,236.963,
393,2026-05-16T22:21:26.671,1,200,238.664,
394,2026-05-16T22:21:26.980,1,200,244.24,
395,2026-05-16T22:21:27.283,1,200,242.264,
396,2026-05-16T22:21:27.580,1,200,245.804,
397,2026-05-16T22:21:27.884,1,200,243.041,
398,2026-05-16T22:21:28.190,1,200,244.776,
399,2026-05-16T22:21:28.502,1,200,252.215,
400,2026-05-16T22:21:28.811,1,200,244.546,
401,2026-05-16T22:21:29.113,1,200,239.96,
402,2026-05-16T22:21:29.417,1,200,239.696,
403,2026-05-16T22:21:29.730,1,200,247.81,
404,2026-05-16T22:21:30.038,1,200,250.093,
405,2026-05-16T22:21:30.340,1,200,248.209,
406,2026-05-16T22:21:30.651,1,200,254.39,
407,2026-05-16T22:21:30.944,1,200,241.014,
408,2026-05-16T22:21:31.245,1,200,239.185,
409,2026-05-16T22:21:31.551,1,200,242.087,
410,2026-05-16T22:21:31.850,1,200,236.728,
411,2026-05-16T22:21:32.148,1,200,244.032,
412,2026-05-16T22:21:32.446,1,200,238.82,
413,2026-05-16T22:21:32.746,1,200,234.613,
414,2026-05-16T22:21:33.041,1,200,240.798,
415,2026-05-16T22:21:33.334,1,200,242.981,
