i,local_time,ok,status,latency_ms,error
122,2026-05-16T22:22:37.667,1,200,239.035,
123,2026-05-16T22:22:37.956,1,200,238.463,
124,2026-05-16T22:22:38.249,1,200,241.466,
125,2026-05-16T22:22:38.553,1,200,240.579,
126,2026-05-16T22:22:38.856,1,200,239.753,
127,2026-05-16T22:22:39.153,1,200,246.694,
128,2026-05-16T22:22:39.470,1,200,257.525,
129,2026-05-16T22:22:39.791,1,200,259.565,
130,2026-05-16T22:22:40.108,1,200,256.851,
131,2026-05-16T22:22:40.482,1,200,311.278,
132,2026-05-16T22:22:40.865,1,200,330.787,
133,2026-05-16T22:22:41.262,1,200,345.792,
134,2026-05-16T22:22:41.657,1,200,340.402,
135,2026-05-16T22:22:42.044,1,200,330.553,
136,2026-05-16T22:22:42.430,1,200,333.751,
137,2026-05-16T22:22:42.862,1,200,368.809,
138,2026-05-16T22:22:43.162,1,200,241.365,
139,2026-05-16T22:22:43.463,1,200,238.619,
140,2026-05-16T22:22:43.769,1,200,241.481,
141,2026-05-16T22:22:44.070,1,200,238.051,
142,2026-05-16T22:22:44.357,1,200,235.355,
143,2026-05-16T22:22:44.646,1,200,235.559,
144,2026-05-16T22:22:44.937,1,200,236.636,
145,2026-05-16T22:22:45.228,1,200,238.122,
146,2026-05-16T22:22:45.525,1,200,245.175,
147,2026-05-16T22:22:45.824,1,200,237.978,
148,2026-05-16T22:22:46.116,1,200,239.055,
149,2026-05-16T22:22:46.418,1,200,236.816,
150,2026-05-16T22:22:46.716,1,200,243.353,
151,2026-05-16T22:22:47.015,1,200,236.982,
152,2026-05-16T22:22:47.309,1,200,240.245,
153,2026-05-16T22:22:47.616,1,200,241.658,
154,2026-05-16T22:22:47.913,1,200,236.737,
155,2026-05-16T22:22:48.200,1,200,235.762,
156,2026-05-16T22:22:48.488,1,200,235.506,
157,2026-05-16T22:22:48.785,1,200,241.183,
158,2026-05-16T22:22:49.361,1,200,515.367,
159,2026-05-16T22:22:49.666,1,200,245.109,
160,2026-05-16T22:22:49.964,1,200,240.535,
161,2026-05-16T22:22:50.275,1,200,248.296,
162,2026-05-16T22:22:50.579,1,200,247.199,
163,2026-05-16T22:22:50.891,1,200,254.873,
164,2026-05-16T22:22:51.200,1,200,258.479,
165,2026-05-16T22:22:51.512,1,200,249.089,
166,2026-05-16T22:22:51.811,1,200,241.9,
167,2026-05-16T22:22:52.119,1,200,242.461,
168,2026-05-16T22:22:52.423,1,200,243.351,
169,2026-05-16T22:22:52.725,1,200,240.094,
170,2026-05-16T22:22:53.029,1,200,240.582,
171,2026-05-16T22:22:53.348,1,200,255.127,
172,2026-05-16T22:22:53.667,1,200,253.433,
